English Order,English,Russian Synodial
1,Genesis,Книга Бытие
2,Exodus,Книга Исход
3,Leviticus,Книга Левит
4,Numbers,Книга Числа
5,Deuteronomy,Книга Второзаконие
6,Joshua,Книга Иисуса Навина
7,Judges,Книга Судей Израилевых
8,Ruth,Книга Руфь
9,1 Samuel,Первая книга Царств
10,2 Samuel,Вторая книга Царств
11,1 Kings,Третья книга Царств
12,2 Kings,Четвертая книга Царств
13,1 Chronicles,Первая книга Паралипоменон
14,2 Chronicles,Вторая книга Паралипоменон
15,Ezra,Книга Ездры
16,Nehemiah,Неемия
17,Esther,Книга Есфирь
18,Job,Книга Иова
19,Psalms,Псалтирь
20,Proverbs,Притчи Соломона
21,Ecclesiastes,Книга Екклесиаста
22,The Song of Solomon,Песня Песней
23,Isaiah,Книга пророка Исаии
24,Jeremiah,Книга пророка Иеремии
25,Lamentations,Плач Иеремии
26,Ezekiel,Книга пророка Иезекииля
27,Daniel,Книга пророка Даниила
28,Hosea,Книга пророка Осии
29,Joel,Книга пророка Иоиля
30,Amos,Книга пророка Амоса
31,Obadiah,Книга пророка Авдия
32,Jonah,Книга пророка Ионы
33,Micah,Книга пророка Михея
34,Nahum,Книга пророка Наума
35,Habakkuk,Книга пророка Аввакума
36,Zephaniah,Книга пророка Софонии
37,Haggai,Книга пророка Аггея
38,Zechariah,Книга пророка Захарии
39,Malachi,Книга пророка Малахии
40,Matthew,Евангелие от Матфея
41,Mark,Евангелие от Марка
42,Luke,Евангелие от Луки
43,John,Евангелие от Иоанна
44,Acts,Деяния
45,Romans,Послание к Римлянам
46,1 Corinthians,Первое послание к Коринфянам
47,2 Corinthians,Второе послание к Коринфянам
48,Galatians,Послание к Галатам
49,Ephesians,Послание к Ефесянам
50,Philippians,Послание к Филиппийцам
51,Colossians,Послание к Колоссянам
52,1 Thessalonians,Первое послание к Фессалоникийцам
53,2 Thessalonians,Второе послание к Фессалоникийцам
54,1 Timothy,Первое послание к Тимофею
55,2 Timothy,Второе послание к Тимофею
56,Titus,Послание к Титу
57,Philemon,Послание к Филимону
58,Hebrews,Послание к Евреям
59,James,Послание Иакова
60,1 Peter,Первое послание Петра
61,2 Peter,Второе послание Петра
62,1 John,Первое послание Иоанна
63,2 John,Второе послание Иоанна
64,3 John,Третье послание Иоанна
65,Jude,Послание Иуды
66,Revelation,Откровение Иоанна Богослова